--------------------
Worker: Wallace, level: 31, craft time coefficient: 0.41
Worker: Julia, level: 31, craft time coefficient: 0.41
Worker: Allan, level: 29, craft time coefficient: 0.43
Worker: Maribel, level: 29, craft time coefficient: 0.43
Worker: Grimar, level: 30, craft time coefficient: 0.43
Worker: Katarina, level: 29, craft time coefficient: 0.43
Worker: Freyja, level: 29, craft time coefficient: 0.43
Worker: Theodore, level: 31, craft time coefficient: 0.41
Worker: Evelyn, level: 30, craft time coefficient: 0.43
Worker: Roxanne, level: 27, craft time coefficient: 0.46
--------------------
Building IronMine, level: 16, regen rate: 22.88
Building Lumberyard, level: 16, regen rate: 22.88
Building Tannery, level: 16, regen rate: 22.88
Building Garden, level: 16, regen rate: 22.88
Building Smelter, level: 15, regen rate: 6.15
Building Sawmill, level: 15, regen rate: 6.15
Building WeaverMill, level: 15, regen rate: 6.15
Building OilPress, level: 15, regen rate: 6.15
Building EtherWell, level: 15, regen rate: 1.2
Building JewelStorehouse, level: 15, regen rate: 1.2
--------------------
             name             |           value/minute/slot            |           profit/minute/slot           |            iron/minute/slot            |            wood/minute/slot            |          leather/minute/slot           |           herbs/minute/slot            |           steel/minute/slot            |          ironwood/minute/slot          |           fabric/minute/slot           |            oils/minute/slot            |           ether/minute/slot            |           jewels/minute/slot           |               value/iron               |               value/wood               |             value/leather              |              value/herbs               |              value/steel               |             value/ironwood             |              value/fabric              |               value/oils               |              value/ether               |              value/jewels              |
         Leather Cap          |                533.333                 |                533.333                 |                  0.0                   |                  0.0                   |                 9.697                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  55.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Canopy Cap          |                696.104                 |                696.104                 |                  0.0                   |                  0.0                   |                 4.156                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 167.5                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Brimmed Hat          |                571.429                 |                571.429                 |                  0.0                   |                  0.0                   |                 4.156                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 137.5                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Feathered Hat         |                1182.107                |                1182.107                |                  0.0                   |                  0.0                   |                 12.006                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 98.462                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Tricorn            |                1912.174                |                1912.174                |                 7.485                  |                  0.0                   |                 11.568                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                255.455                 |                  0.0                   |                165.294                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Silk Hood           |                1708.514                |                1708.514                |                  0.0                   |                  0.0                   |                 6.095                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.108                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                280.303                 |                  0.0                   |                  0.0                   |                  0.0                   |                1541.667                |                  0.0                   |                  0.0                   |                  0.0                   |
          Pirate Hat          |                2154.882                |                2154.882                |                  0.0                   |                  0.0                   |                 4.884                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.221                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                441.176                 |                  0.0                   |                  0.0                   |                  0.0                   |                1764.706                |                  0.0                   |                  0.0                   |                  0.0                   |
          Lovely Hat          |                2975.207                |                2975.207                |                  0.0                   |                  0.0                   |                 4.643                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.175                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                640.823                 |                  0.0                   |                  0.0                   |                  0.0                   |                2531.25                 |                  0.0                   |                  0.0                   |                  0.0                   |
          Night Cowl          |                2626.263                |                2626.263                |                  0.0                   |                  0.0                   |                 3.653                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.937                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                719.027                 |                  0.0                   |                  0.0                   |                  0.0                   |                2801.724                |                  0.0                   |                  0.0                   |                  0.0                   |
          Nomad Veil          |                3415.978                |                3415.978                |                  0.0                   |                  0.0                   |                 3.644                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.911                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 937.5                  |                  0.0                   |                  0.0                   |                  0.0                   |                 3750.0                 |                  0.0                   |                  0.0                   |                  0.0                   |
       Harvester's Hood       |                3591.47                 |                3591.47                 |                  0.0                   |                  0.0                   |                 3.256                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.814                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                1102.941                |                  0.0                   |                  0.0                   |                  0.0                   |                4411.765                |                  0.0                   |                  0.0                   |                  0.0                   |
        Windrunner Hat        |                3249.89                 |                3249.89                 |                  0.0                   |                  0.0                   |                 2.235                  |                 0.703                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.042                  |                  0.0                   |                  0.0                   |                  0.0                   |                1454.403                |                 4625.0                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |               77083.333                |                  0.0                   |
        Drakeskin Mask        |                3802.733                |                3802.733                |                  0.0                   |                  0.0                   |                 1.968                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.684                  |                  0.0                   |                 0.095                  |                  0.0                   |                  0.0                   |                  0.0                   |                1932.367                |                  0.0                   |                  0.0                   |                  0.0                   |                5555.556                |                  0.0                   |                40000.0                 |                  0.0                   |
      Storm Dragon Mask       |                4040.404                |                4040.404                |                  0.0                   |                  0.0                   |                 1.975                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.557                  |                  0.0                   |                 0.099                  |                  0.0                   |                  0.0                   |                  0.0                   |                2045.455                |                  0.0                   |                  0.0                   |                  0.0                   |                7258.065                |                  0.0                   |               40909.091                |                  0.0                   |
        Grand Tyrolean        |                3831.924                |                3831.924                |                  0.0                   |                  0.0                   |                  1.55                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.437                  |                  0.0                   |                 0.078                  |                  0.0                   |                  0.0                   |                  0.0                   |                2471.591                |                  0.0                   |                  0.0                   |                  0.0                   |                8770.161                |                  0.0                   |               49431.818                |                  0.0                   |
       Corsair Tricorn        |               10893.246                |               10893.246                |                  0.0                   |                  0.0                   |                 3.342                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.951                  |                  0.0                   |                 0.202                  |                  0.0                   |                  0.0                   |                  0.0                   |                3259.698                |                  0.0                   |                  0.0                   |                  0.0                   |               11458.333                |                  0.0                   |               54017.857                |                  0.0                   |
        Stitched Cone         |                1034.343                |                1034.343                |                  0.0                   |                  0.0                   |                 25.859                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  40.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Black Cowl          |                761.905                 |                761.905                 |                  0.0                   |                  0.0                   |                 11.082                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 68.75                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Druid Laurels         |                955.844                 |                955.844                 |                  0.0                   |                  0.0                   |                 12.006                 |                 3.694                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 79.615                 |                 258.75                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
       Apprentice Tiara       |                1956.113                |                1956.113                |                  0.0                   |                  0.0                   |                 9.363                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                208.929                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Bronze Circlet        |                1742.052                |                1742.052                |                  0.0                   |                  0.0                   |                 11.568                 |                 3.402                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                150.588                 |                 512.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Wizard Hat          |                1847.042                |                1847.042                |                  0.0                   |                  0.0                   |                 6.095                  |                 1.847                  |                  0.0                   |                  0.0                   |                 1.108                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 303.03                 |                 1000.0                 |                  0.0                   |                  0.0                   |                1666.667                |                  0.0                   |                  0.0                   |                  0.0                   |
    Hat of the Four Winds     |                2020.202                |                2020.202                |                  0.0                   |                  0.0                   |                  5.73                  |                 1.175                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                352.564                 |                1718.75                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Witch Hat           |                1868.687                |                1868.687                |                  0.0                   |                  0.0                   |                 5.495                  |                 1.697                  |                  0.0                   |                  0.0                   |                 1.374                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                340.074                 |                1101.19                 |                  0.0                   |                  0.0                   |                1360.294                |                  0.0                   |                  0.0                   |                  0.0                   |
        Tactician Hat         |                2505.051                |                2505.051                |                  0.0                   |                  0.0                   |                 3.653                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.937                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                685.841                 |                  0.0                   |                  0.0                   |                  0.0                   |                2672.414                |                  0.0                   |                  0.0                   |                  0.0                   |
         Summoner Hat         |                3928.171                |                3928.171                |                  0.0                   |                  0.0                   |                 3.711                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.928                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                1058.468                |                  0.0                   |                  0.0                   |                  0.0                   |                4233.871                |                  0.0                   |                  0.0                   |                  0.0                   |
          Shaman Hat          |                3581.267                |                3581.267                |                  0.0                   |                  0.0                   |                 2.336                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.749                  |                  0.0                   |                 0.073                  |                  0.0                   |                  0.0                   |                  0.0                   |                1533.019                |                  0.0                   |                  0.0                   |                  0.0                   |                4779.412                |                  0.0                   |                48750.0                 |                  0.0                   |
     Luxurious Headdress      |                5858.586                |                5858.586                |                  0.0                   |                  0.0                   |                 2.101                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.582                  |                  0.0                   |                 0.097                  |                  0.0                   |                  0.0                   |                  0.0                   |                2788.462                |                  0.0                   |                  0.0                   |                  0.0                   |               10069.444                |                  0.0                   |               60416.667                |                  0.0                   |
          Astral Hat          |                4103.535                |                4103.535                |                  0.0                   |                  0.0                   |                 2.091                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.727                  |                  0.0                   |                 0.131                  |                  0.0                   |                  0.0                   |                  0.0                   |                1962.56                 |                  0.0                   |                  0.0                   |                  0.0                   |                5642.361                |                  0.0                   |                31250.0                 |                  0.0                   |
          Raven Mask          |                4329.004                |                4329.004                |                  0.0                   |                  0.0                   |                 1.858                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.389                  |                  0.0                   |                 0.127                  |                  0.0                   |                  0.0                   |                  0.0                   |                2329.545                |                  0.0                   |                  0.0                   |                  0.0                   |               11141.304                |                  0.0                   |               34166.667                |                  0.0                   |
        Spellward Hat         |                4545.455                |                4545.455                |                  0.0                   |                  0.0                   |                 1.905                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.667                  |                  0.0                   |                 0.113                  |                  0.0                   |                  0.0                   |                  0.0                   |                2386.364                |                  0.0                   |                  0.0                   |                  0.0                   |                6818.182                |                  0.0                   |               40384.615                |                  0.0                   |
         Opal Diadem          |               10244.432                |               10244.432                |                  0.0                   |                  0.0                   |                 3.169                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.902                  |                  0.0                   |                 0.246                  |                  0.0                   |                  0.0                   |                  0.0                   |                3232.759                |                  0.0                   |                  0.0                   |                  0.0                   |               11363.636                |                  0.0                   |               41666.667                |                  0.0                   |
        Iron Armguards        |                775.758                 |                775.758                 |                 9.697                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  80.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
       Plated Gauntlets       |                894.545                 |                894.545                 |                 8.727                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 102.5                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
      Warrior Gauntlets       |                1086.729                |                1086.729                |                 9.363                  |                  0.0                   |                 6.019                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                116.071                 |                  0.0                   |                180.556                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Demi Gauntlets        |                2327.273                |                2327.273                |                 10.519                 |                  0.0                   |                 6.574                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 221.25                 |                  0.0                   |                 354.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
      Pumpkin Gauntlets       |                1731.602                |                1731.602                |                 4.618                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 375.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
       Knight Gauntlets       |                1659.452                |                1659.452                |                 5.541                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.154                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                299.479                 |                  0.0                   |                  0.0                   |                  0.0                   |                 1437.5                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
      Paladin Gauntlets       |                1652.893                |                1652.893                |                 4.643                  |                  0.0                   |                  0.0                   |                 1.469                  |                 1.175                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                356.013                 |                  0.0                   |                  0.0                   |                 1125.0                 |                1406.25                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
      Sungrasp Gauntlets      |                2077.922                |                2077.922                |                 4.156                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.924                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 500.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                 2250.0                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
    Landsknecht Gauntlets     |                2770.563                |                2770.563                |                 4.156                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.785                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                666.667                 |                  0.0                   |                  0.0                   |                  0.0                   |                3529.412                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Samurai Kote         |                2787.879                |                2787.879                |                 3.653                  |                  0.0                   |                 2.263                  |                  0.0                   |                 0.937                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                763.274                 |                  0.0                   |                1232.143                |                  0.0                   |                2974.138                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
      General Gauntlets       |                2669.553                |                2669.553                |                 1.974                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.658                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.069                  |                1352.339                |                  0.0                   |                  0.0                   |                  0.0                   |                4057.018                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |               38541.667                |
     Berserker Gauntlets      |                4107.744                |                4107.744                |                 2.101                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.722                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.108                  |                1955.128                |                  0.0                   |                  0.0                   |                  0.0                   |                5690.299                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                38125.0                 |
     Luxurious Gauntlets      |                5948.373                |                5948.373                |                 1.859                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.521                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.117                  |                3200.483                |                  0.0                   |                  0.0                   |                  0.0                   |               11422.414                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |               50961.538                |
       Juggernaut Grip        |               10047.424                |               10047.424                |                 3.108                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.884                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.241                  |                3232.759                |                  0.0                   |                  0.0                   |                  0.0                   |               11363.636                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |               41666.667                |
        Leather Gloves        |                775.758                 |                775.758                 |                  0.0                   |                  0.0                   |                 9.697                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  80.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Bracers            |                654.545                 |                654.545                 |                  0.0                   |                  0.0                   |                 4.848                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 135.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Thief's Gloves        |                1383.434                |                1383.434                |                  0.0                   |                  0.0                   |                 14.222                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 97.273                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
